ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,CITY,REGION,STATE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
569520,65+,female,majority,0-9y,high school,upper class,0.629027313918201,,after 2015,no,yes,95404,santa rosa,west,california,12000.0,sedan,0,0.0,0,0.0
750365,16-25,male,majority,0-9y,none,poverty,0.3577571170184627,no,before 2015,no,no,95404,santa rosa,west,california,16000.0,,0,,0,1.0
199901,16-25,female,majority,0-9y,high school,working class,0.4931457852181982,yes,before 2015,no,no,95404,santa rosa,west,california,11000.0,sedan,0,,0,0.0
478866,16-25,male,majority,0-9y,university,working class,0.2060128507324556,yes,before 2015,no,yes,32765,oviedo,south,florida,11000.0,sedan,0,,0,0.0
731664,26-39,male,majority,10-19y,none,working class,0.3883658881572184,yes,before 2015,no,no,32765,oviedo,south,,12000.0,,2,,1,1.0
877557,40-64,female,majority,20-29y,high school,upper class,0.6191273725847388,yes,after 2015,no,yes,95404,santa rosa,west,california,13000.0,sedan,3,,3,0.0
930134,65+,male,majority,30y+,high school,upper class,0.4929435502195342,,after 2015,yes,yes,95404,santa rosa,west,california,13000.0,,7,,3,0.0
461006,26-39,female,majority,0-9y,university,working class,0.468689297434465,no,after 2015,no,yes,95404,santa rosa,west,california,14000.0,,0,,0,1.0
68366,40-64,female,majority,20-29y,university,working class,0.5218149362971065,no,before 2015,yes,no,95404,santa rosa,west,california,13000.0,,0,,0,0.0
445911,40-64,female,majority,0-9y,high school,upper class,0.5615310319383646,yes,before 2015,no,yes,32765,oviedo,south,florida,11000.0,,0,,0,1.0
275820,65+,male,majority,30y+,high school,upper class,0.6203612640126029,yes,after 2015,yes,yes,95404,santa rosa,west,california,10000.0,sedan,6,,7,0.0
521399,65+,female,majority,30y+,high school,upper class,0.7298308815593941,yes,after 2015,yes,no,32765,oviedo,south,florida,12000.0,sedan,4,,0,0.0
429728,40-64,male,majority,20-29y,high school,upper class,0.6370447435902447,yes,before 2015,yes,yes,95404,santa rosa,west,california,8000.0,,4,,2,0.0
569640,16-25,female,majority,0-9y,university,upper class,0.59125997174597,yes,before 2015,no,yes,95404,santa rosa,west,california,,sedan,0,,0,0.0
980181,26-39,male,majority,10-19y,high school,middle class,0.4615679630439447,yes,before 2015,yes,yes,95404,santa rosa,west,california,12000.0,,0,,1,0.0
906223,26-39,female,majority,0-9y,high school,upper class,0.7627979410816134,no,after 2015,yes,no,95404,santa rosa,west,california,,,0,,0,0.0
517747,65+,male,majority,30y+,university,upper class,0.7961748462456987,,before 2015,yes,yes,32765,oviedo,south,,,sedan,10,,1,0.0
24851,16-25,male,majority,0-9y,none,poverty,,no,before 2015,yes,no,32765,oviedo,south,,12000.0,,0,,0,1.0
104086,26-39,female,majority,0-9y,university,upper class,0.6805942795073384,yes,before 2015,no,yes,32765,oviedo,south,,,,0,,0,1.0
240658,16-25,female,majority,0-9y,high school,working class,0.4177139816231188,yes,before 2015,no,yes,95404,santa rosa,west,california,18000.0,sedan,0,,0,1.0
484399,16-25,female,majority,0-9y,high school,working class,0.4095135306516067,no,before 2015,no,no,95404,santa rosa,west,california,17000.0,,0,,0,1.0
912828,16-25,male,majority,0-9y,high school,middle class,0.5532600531952381,yes,after 2015,yes,yes,32765,oviedo,south,florida,8000.0,sedan,0,0.0,0,1.0
892754,40-64,male,majority,20-29y,none,poverty,0.3309502618581893,yes,before 2015,yes,yes,95404,santa rosa,west,california,13000.0,,3,,1,0.0
217,16-25,male,majority,0-9y,none,poverty,,no,before 2015,no,no,95404,santa rosa,west,california,17000.0,,0,,0,0.0
633896,65+,male,majority,30y+,high school,upper class,0.5006306604427161,yes,before 2015,yes,yes,32765,oviedo,south,florida,7000.0,,13,,3,0.0
193110,26-39,female,majority,10-19y,university,middle class,0.5519701813636283,yes,before 2015,yes,no,95404,santa rosa,west,california,14000.0,sports car,0,0.0,0,0.0
98515,40-64,male,majority,10-19y,high school,middle class,0.6269960497386653,yes,before 2015,no,no,95404,santa rosa,west,california,13000.0,sedan,1,1.0,0,0.0
165623,26-39,male,majority,10-19y,none,poverty,0.2947974807719967,yes,before 2015,yes,no,95404,santa rosa,west,california,15000.0,sedan,0,,1,0.0
493590,26-39,male,majority,10-19y,university,middle class,0.5519504952618395,no,after 2015,no,no,95404,santa rosa,west,california,17000.0,sedan,0,0.0,1,0.0
389792,65+,male,majority,0-9y,university,upper class,0.649820471216227,,after 2015,yes,yes,32765,oviedo,south,,9000.0,,0,,0,1.0
642614,40-64,male,majority,20-29y,high school,middle class,0.5218044346397632,,after 2015,yes,yes,92101,san diego,west,california,7000.0,,2,,1,0.0
951465,65+,female,majority,30y+,university,upper class,0.7012683240604196,yes,before 2015,yes,yes,95404,santa rosa,west,california,10000.0,,3,,1,0.0
496987,16-25,male,majority,0-9y,none,poverty,0.1712440288213211,yes,before 2015,yes,yes,95404,santa rosa,west,california,9000.0,,0,,0,0.0
732437,16-25,male,majority,0-9y,none,poverty,0.3184419972124171,yes,before 2015,no,yes,32765,oviedo,south,,10000.0,,0,,0,1.0
146897,26-39,female,majority,0-9y,high school,middle class,0.6046842696715551,yes,before 2015,yes,yes,21217,baltimore,south,maryland,11000.0,,0,,0,1.0
316173,16-25,male,majority,0-9y,university,working class,0.5049948526440377,no,after 2015,no,no,32765,oviedo,south,,8000.0,sedan,0,0.0,0,1.0
9013,26-39,male,majority,10-19y,high school,working class,0.6251466352816216,yes,before 2015,no,yes,95404,santa rosa,west,california,17000.0,,3,,2,0.0
511757,40-64,female,majority,10-19y,none,middle class,,yes,before 2015,yes,yes,95404,santa rosa,west,california,11000.0,,2,,1,0.0
429947,65+,male,majority,30y+,university,upper class,,no,after 2015,no,yes,95404,santa rosa,west,california,12000.0,,6,,5,0.0
485660,40-64,male,majority,10-19y,university,upper class,0.5781305873212035,yes,before 2015,no,yes,92101,san diego,west,california,14000.0,,1,,1,0.0
80496,65+,male,majority,30y+,high school,upper class,0.7054542902137054,yes,before 2015,yes,yes,95404,santa rosa,west,california,10000.0,sedan,5,,3,0.0
478336,40-64,male,majority,20-29y,university,upper class,0.6595254905875941,yes,after 2015,no,yes,95404,santa rosa,west,california,16000.0,sedan,4,,2,0.0
10843,40-64,male,majority,20-29y,university,upper class,0.5873836120460223,no,after 2015,yes,yes,32765,oviedo,south,florida,9000.0,,10,,0,0.0
397446,16-25,male,majority,0-9y,none,poverty,0.4064824253974476,no,before 2015,no,no,95404,santa rosa,west,california,16000.0,sedan,0,0.0,0,1.0
101678,26-39,female,majority,10-19y,high school,poverty,0.2857471319596469,no,before 2015,no,yes,95404,santa rosa,west,california,13000.0,,1,,0,1.0
231661,40-64,male,majority,20-29y,high school,middle class,0.5022849652731057,no,before 2015,no,no,95404,santa rosa,west,california,14000.0,,3,,4,0.0
173782,65+,male,majority,20-29y,high school,upper class,0.6256257210210231,yes,after 2015,yes,yes,95404,santa rosa,west,california,7000.0,sedan,7,,5,0.0
921097,40-64,female,majority,20-29y,university,upper class,,yes,after 2015,yes,yes,92101,san diego,west,,11000.0,sedan,3,,2,0.0
98839,26-39,female,minority,10-19y,university,working class,0.3931531299744003,yes,before 2015,no,yes,32765,oviedo,south,florida,12000.0,,1,,0,0.0
105372,26-39,female,minority,10-19y,none,working class,0.5039497598168121,no,before 2015,no,yes,95404,santa rosa,west,california,14000.0,,1,,0,0.0
888828,40-64,male,majority,20-29y,university,upper class,0.6586274302571438,yes,before 2015,yes,no,95404,santa rosa,west,california,14000.0,,3,,2,0.0
37454,26-39,female,majority,0-9y,high school,working class,0.5241464657501199,no,before 2015,no,no,95404,santa rosa,west,california,17000.0,,0,,0,1.0
370044,65+,male,majority,20-29y,university,upper class,0.5531007570628673,no,after 2015,yes,yes,32765,oviedo,south,,7000.0,sedan,9,0.0,1,0.0
768282,16-25,female,majority,0-9y,university,working class,0.4475509489142775,no,before 2015,yes,yes,95404,santa rosa,west,california,8000.0,,0,,0,1.0
738729,16-25,female,majority,0-9y,none,working class,0.5107331365064207,yes,before 2015,yes,yes,95404,santa rosa,west,,7000.0,,0,,0,1.0
437535,26-39,female,majority,10-19y,high school,middle class,,yes,after 2015,yes,no,95404,santa rosa,west,,15000.0,sedan,0,0.0,0,0.0
329536,16-25,female,majority,0-9y,high school,poverty,0.4613735917269193,no,before 2015,no,no,32765,oviedo,south,,9000.0,,0,,0,1.0
328531,40-64,female,majority,20-29y,university,middle class,0.3875569443647317,no,after 2015,no,yes,32765,oviedo,south,florida,12000.0,,2,,1,0.0
123941,40-64,female,majority,20-29y,university,middle class,0.5701572256616224,yes,after 2015,yes,yes,95404,santa rosa,west,california,,,0,,0,0.0
131881,26-39,male,majority,10-19y,university,working class,0.5501250875743224,yes,before 2015,no,no,95404,santa rosa,,california,16000.0,,0,,0,0.0
839572,40-64,male,majority,20-29y,high school,working class,0.4529442316093683,no,before 2015,yes,yes,95404,santa rosa,west,,12000.0,sedan,3,0.0,1,0.0
171578,26-39,male,majority,10-19y,university,upper class,,yes,before 2015,yes,yes,95404,santa rosa,west,california,8000.0,sedan,2,,1,0.0
589757,40-64,female,majority,20-29y,high school,upper class,0.5352743096602144,yes,before 2015,yes,yes,92101,san diego,west,,7000.0,sedan,2,0.0,0,0.0
336859,16-25,female,majority,0-9y,university,middle class,0.6147359485632915,,before 2015,no,yes,95404,santa rosa,west,california,15000.0,sedan,0,0.0,0,1.0
788111,40-64,female,minority,20-29y,high school,poverty,0.4544471564329259,yes,before 2015,yes,yes,95404,santa rosa,west,california,,,1,,1,0.0
407453,40-64,female,majority,0-9y,university,upper class,0.6137409183819416,yes,before 2015,no,no,95404,santa rosa,,california,,,0,,0,0.0
367026,40-64,female,minority,10-19y,high school,working class,0.5326613280250595,,before 2015,yes,yes,95404,santa rosa,west,california,11000.0,,0,,0,0.0
334687,40-64,female,minority,0-9y,university,middle class,0.4277285143019345,yes,before 2015,no,no,95404,santa rosa,west,,15000.0,,0,,0,1.0
623367,65+,male,majority,20-29y,university,upper class,0.6859457213719147,yes,before 2015,yes,yes,32765,oviedo,south,,5000.0,sedan,4,,4,0.0
688440,65+,male,majority,10-19y,university,upper class,0.6936124267187082,yes,before 2015,yes,yes,95404,santa rosa,west,,10000.0,,2,,0,0.0
547974,65+,male,majority,20-29y,high school,upper class,0.5979905963582334,no,before 2015,yes,yes,95404,santa rosa,west,,12000.0,,2,,7,1.0
989064,26-39,male,majority,0-9y,none,poverty,0.3308186664986927,no,after 2015,yes,yes,95404,santa rosa,west,california,12000.0,sedan,0,,0,1.0
422816,40-64,male,majority,20-29y,high school,working class,,yes,before 2015,no,no,95404,santa rosa,west,california,12000.0,,5,,7,0.0
307408,26-39,female,minority,10-19y,none,working class,,yes,before 2015,no,yes,95404,santa rosa,west,california,9000.0,sedan,2,0.0,0,0.0
675898,16-25,male,majority,0-9y,high school,middle class,0.5083042183803546,yes,before 2015,no,yes,95404,santa rosa,west,california,16000.0,,0,,0,0.0
480452,26-39,female,majority,0-9y,university,upper class,0.7641329165005233,yes,before 2015,yes,yes,95404,santa rosa,west,california,12000.0,sedan,0,0.0,0,0.0
93199,40-64,female,majority,0-9y,university,middle class,0.4775169603837716,yes,after 2015,yes,yes,95404,santa rosa,west,california,14000.0,sedan,0,,0,0.0
125802,40-64,female,majority,20-29y,university,upper class,0.6812332078486962,yes,before 2015,yes,yes,95404,santa rosa,west,california,10000.0,sedan,0,,1,0.0
616663,40-64,male,majority,0-9y,university,upper class,0.4671555457007022,yes,after 2015,no,no,95404,santa rosa,west,california,16000.0,sedan,0,0.0,0,0.0
423497,16-25,female,majority,0-9y,high school,working class,0.3941632454999797,yes,before 2015,no,no,95404,santa rosa,west,california,16000.0,sedan,0,0.0,0,1.0
492837,40-64,female,majority,10-19y,university,upper class,0.6610607322734078,yes,after 2015,yes,yes,95404,santa rosa,west,california,14000.0,sedan,0,,0,0.0
422563,40-64,male,majority,20-29y,university,upper class,0.6651879748430346,no,before 2015,no,yes,95404,santa rosa,west,california,14000.0,sedan,2,0.0,1,0.0
185231,16-25,female,majority,0-9y,high school,middle class,0.560770206632082,yes,before 2015,no,yes,95404,santa rosa,west,california,11000.0,sedan,0,,0,0.0
949152,26-39,female,majority,10-19y,university,upper class,0.7454327103696547,no,after 2015,no,no,32765,oviedo,south,,9000.0,,0,,0,0.0
859453,26-39,male,majority,10-19y,university,middle class,0.53257435224505,yes,before 2015,yes,yes,95404,santa rosa,west,california,13000.0,,1,,2,0.0
466578,26-39,female,majority,10-19y,high school,middle class,0.5267473391434415,yes,after 2015,no,yes,95404,santa rosa,west,california,14000.0,,0,,0,0.0
998214,16-25,female,minority,0-9y,none,poverty,0.4124517461654282,no,before 2015,no,no,95404,santa rosa,west,california,14000.0,sedan,0,,0,1.0
828462,40-64,male,majority,20-29y,high school,working class,0.3871071449018297,no,before 2015,no,yes,95404,santa rosa,west,california,16000.0,,0,,6,0.0
511837,65+,male,majority,10-19y,high school,middle class,0.5499938678343249,yes,before 2015,yes,yes,32765,oviedo,south,florida,9000.0,,3,,1,0.0
554995,16-25,male,majority,0-9y,university,upper class,0.5853420947575604,yes,before 2015,yes,yes,95404,santa rosa,west,california,12000.0,sports car,0,0.0,0,1.0
680717,65+,male,majority,30y+,none,middle class,0.5987396054343311,yes,before 2015,yes,yes,95404,santa rosa,west,california,14000.0,,6,,3,0.0
978021,40-64,male,majority,20-29y,university,upper class,0.6026557000791793,yes,after 2015,yes,yes,95404,santa rosa,west,california,7000.0,sedan,4,0.0,6,0.0
509815,26-39,female,majority,0-9y,high school,working class,0.5114570584803535,yes,after 2015,yes,yes,32765,oviedo,south,florida,,sedan,0,,0,0.0
6676,40-64,female,majority,20-29y,high school,upper class,0.5586591735288894,no,before 2015,no,yes,95404,santa rosa,west,california,15000.0,sedan,3,0.0,2,0.0
362280,40-64,male,majority,10-19y,high school,working class,0.6284070137170304,no,before 2015,no,no,95404,santa rosa,west,,13000.0,,0,,0,1.0
883018,40-64,male,majority,0-9y,high school,working class,0.5057903732571783,yes,before 2015,no,yes,95404,santa rosa,west,california,13000.0,,0,,0,0.0
889355,26-39,female,majority,10-19y,university,upper class,0.7268184180645275,yes,before 2015,yes,yes,95404,santa rosa,west,california,15000.0,,2,,0,0.0
198273,65+,male,majority,20-29y,university,upper class,0.6904423335733175,yes,after 2015,yes,yes,32765,oviedo,south,florida,9000.0,sedan,8,,2,0.0
197763,40-64,male,majority,20-29y,university,upper class,0.4796771646619314,no,after 2015,yes,no,95404,santa rosa,west,california,14000.0,,1,,2,0.0
55670,26-39,male,majority,10-19y,university,upper class,,yes,after 2015,yes,yes,95404,santa rosa,west,california,11000.0,sedan,3,1.0,0,0.0
545941,40-64,female,majority,20-29y,none,working class,0.4405592041968235,yes,after 2015,yes,yes,95404,santa rosa,west,california,11000.0,sedan,1,0.0,2,0.0
814196,16-25,female,majority,0-9y,none,middle class,0.634052597196068,yes,before 2015,no,yes,32765,oviedo,south,,,sedan,0,0.0,0,1.0
560160,16-25,female,majority,0-9y,high school,poverty,0.4574695879943666,no,before 2015,no,no,95404,santa rosa,west,california,,,0,,0,0.0
